episode,step,reward,dropped,drop_rate,completed,accepted
3,28,-4.0,5,0.1724137931034483,20,24
3,29,1.5,5,0.16666666666666666,21,25
3,30,-6.0,6,0.1935483870967742,21,25
3,31,1.5,6,0.1875,22,26
3,32,-1.0,6,0.18181818181818182,22,27
3,33,1.5,6,0.17647058823529413,23,28
3,34,1.5,6,0.17142857142857143,24,29
3,35,-6.0,7,0.19444444444444445,24,29
3,36,3.5,7,0.1891891891891892,26,30
3,37,1.5,7,0.18421052631578946,27,31
3,38,1.5,7,0.1794871794871795,28,32
3,39,-0.5,7,0.175,28,33
3,40,-6.0,8,0.1951219512195122,28,33
3,41,5.5,8,0.19047619047619047,31,34
3,42,-0.5,8,0.18604651162790697,31,35
3,43,-1.0,8,0.18181818181818182,31,36
3,44,-1.0,8,0.17777777777777778,31,37
3,45,1.0,8,0.17391304347826086,32,38
3,46,3.0,8,0.1702127659574468,34,39
3,47,1.0,8,0.16666666666666666,35,40
3,48,1.0,8,0.16326530612244897,36,41
3,49,1.0,8,0.16,37,42
4,0,0.5,0,0.0,0,1
4,1,2.5,0,0.0,1,2
4,2,2.5,0,0.0,2,3
4,3,0.0,0,0.0,2,4
4,4,2.5,0,0.0,3,5
4,5,4.5,0,0.0,5,6
4,6,0.0,0,0.0,5,7
4,7,0.0,0,0.0,5,8
4,8,2.0,0,0.0,6,9
4,9,2.0,0,0.0,7,10
4,10,-0.5,0,0.0,7,11
4,11,1.5,0,0.0,8,12
4,12,1.5,0,0.0,9,13
4,13,-1.0,0,0.0,9,14
4,14,1.0,0,0.0,10,15
4,15,-1.5,0,0.0,10,16
4,16,-7.0,1,0.058823529411764705,10,16
4,17,-4.5,2,0.1111111111111111,11,16
4,18,1.0,2,0.10526315789473684,12,17
4,19,1.0,2,0.1,13,18
4,20,1.0,2,0.09523809523809523,14,19
4,21,-6.5,3,0.13636363636363635,14,19
4,22,-6.5,4,0.17391304347826086,14,19
4,23,-6.5,5,0.20833333333333334,14,19
4,24,1.0,5,0.2,15,20
4,25,1.0,5,0.19230769230769232,16,21
4,26,-1.0,5,0.18518518518518517,16,22
4,27,-6.5,6,0.21428571428571427,16,22
4,28,-4.0,7,0.2413793103448276,17,22
4,29,1.5,7,0.23333333333333334,18,23
4,30,-4.0,8,0.25806451612903225,19,23
4,31,3.5,8,0.25,21,24
4,32,-0.5,8,0.24242424242424243,21,25
4,33,-6.0,9,0.2647058823529412,21,25
4,34,-0.5,9,0.2571428571428571,21,26
4,35,3.5,9,0.25,23,27
4,36,3.5,9,0.24324324324324326,25,28
4,37,-0.5,9,0.23684210526315788,25,29
4,38,-6.0,10,0.2564102564102564,25,29
4,39,-0.5,10,0.25,25,30
4,40,1.5,10,0.24390243902439024,26,31
4,41,1.5,10,0.23809523809523808,27,32
4,42,3.5,10,0.23255813953488372,29,33
4,43,1.5,10,0.22727272727272727,30,34
4,44,1.5,10,0.2222222222222222,31,35
4,45,-1.0,10,0.21739130434782608,31,36
4,46,-1.5,10,0.2127659574468085,31,37
4,47,0.5,10,0.20833333333333334,32,38
4,48,3.0,10,0.20408163265306123,34,39
4,49,-1.5,10,0.2,34,40
5,0,0.5,0,0.0,0,1
5,1,0.0,0,0.0,0,2
5,2,-0.5,0,0.0,0,3
5,3,-0.5,0,0.0,0,4
5,4,-0.5,0,0.0,0,5
5,5,3.5,0,0.0,2,6
5,6,4.0,0,0.0,4,7
